,date,avgTemp,total_precipitation
0,2022-01-01,11.6,19.3
1,2022-01-02,11.4,1.0
2,2022-01-03,1.4,0.0
3,2022-01-04,-2.7,0.0
4,2022-01-05,3.2,6.1
5,2022-01-06,4.9,0.0
6,2022-01-07,0.7,8.4
7,2022-01-08,-2.5,0.0
8,2022-01-09,1.4,2.8
9,2022-01-10,1.6,0.0
10,2022-01-11,-5.4000006,0.0
11,2022-01-12,-1.8999999,0.0
12,2022-01-13,4.0,0.0
13,2022-01-14,4.8,0.0
14,2022-01-15,-6.7,0.0
15,2022-01-16,-8.0,9.1
16,2022-01-17,3.9,26.9
17,2022-01-18,1.8,0.0
18,2022-01-19,3.2,0.0
19,2022-01-20,5.1,6.4
20,2022-01-21,-6.0,0.0
21,2022-01-22,-5.9,0.0
22,2022-01-23,-0.7,0.3
23,2022-01-24,-0.20000002,0.0
24,2022-01-25,3.5999997,0.0
25,2022-01-26,-2.3,0.0
26,2022-01-27,-4.2,0.0
27,2022-01-28,0.1,2.8
28,2022-01-29,-4.8,12.4
29,2022-01-30,-7.1000004,0.0
30,2022-01-31,-3.4,0.0
31,2022-02-01,-1.7,0.0
32,2022-02-02,2.3,0.0
33,2022-02-03,6.4,10.7
34,2022-02-04,5.8,18.8
35,2022-02-05,-2.8,0.0
36,2022-02-06,-4.8,0.0
37,2022-02-07,0.5,3.8
38,2022-02-08,4.1,2.0
39,2022-02-09,2.8,0.0
40,2022-02-10,6.3,0.0
41,2022-02-11,8.6,0.0
42,2022-02-12,11.8,0.0
43,2022-02-13,2.8,4.8
44,2022-02-14,-4.3,0.0
45,2022-02-15,-4.7,0.0
46,2022-02-16,1.6000001,0.0
47,2022-02-17,11.6,7.6
48,2022-02-18,9.9,6.4
49,2022-02-19,0.1,0.0
50,2022-02-20,-2.6,0.0
51,2022-02-21,4.1,0.0
52,2022-02-22,5.6,5.8
53,2022-02-23,14.4,0.0
54,2022-02-24,1.1,0.0
55,2022-02-25,0.8,20.8
56,2022-02-26,-1.1,0.0
57,2022-02-27,2.4,0.0
58,2022-02-28,0.8,0.0
59,2022-03-01,2.6,0.0
60,2022-03-02,7.7,0.0
61,2022-03-03,5.5999994,0.8
62,2022-03-04,-1.9,0.0
63,2022-03-05,3.1,0.0
64,2022-03-06,9.6,1.3
65,2022-03-07,18.2,1.3
66,2022-03-08,8.7,0.0
