,date,bike_rides_daily
0,2022-01-01,20428
1,2022-01-02,43009
2,2022-01-03,33189
3,2022-01-04,36842
4,2022-01-05,34230
5,2022-01-06,44787
6,2022-01-07,17401
7,2022-01-08,24455
8,2022-01-09,21479
9,2022-01-10,34727
10,2022-01-11,26824
11,2022-01-12,40568
12,2022-01-13,50572
13,2022-01-14,45714
14,2022-01-15,22839
15,2022-01-16,20930
16,2022-01-17,29084
17,2022-01-18,42935
18,2022-01-19,54011
19,2022-01-20,33928
20,2022-01-21,33598
21,2022-01-22,31969
22,2022-01-23,32967
23,2022-01-24,41488
24,2022-01-25,50692
25,2022-01-26,42005
26,2022-01-27,43830
27,2022-01-28,34871
28,2022-01-29,2848
29,2022-01-30,9486
30,2022-01-31,22349
31,2022-02-01,29338
32,2022-02-02,41947
33,2022-02-03,26568
34,2022-02-04,20309
35,2022-02-05,29638
36,2022-02-06,28887
37,2022-02-07,30717
38,2022-02-08,51893
39,2022-02-09,56007
40,2022-02-10,61937
41,2022-02-11,64614
42,2022-02-12,68575
43,2022-02-13,20384
44,2022-02-14,34198
45,2022-02-15,40550
46,2022-02-16,53683
47,2022-02-17,67432
48,2022-02-18,47038
49,2022-02-19,32450
50,2022-02-20,31051
51,2022-02-21,52366
52,2022-02-22,36459
53,2022-02-23,66325
54,2022-02-24,44725
55,2022-02-25,30412
56,2022-02-26,41415
57,2022-02-27,42805
58,2022-02-28,45636
59,2022-03-01,56019
60,2022-03-02,67108
61,2022-03-03,55408
62,2022-03-04,49704
63,2022-03-05,51358
64,2022-03-06,54531
65,2022-03-07,67882
66,2022-03-08,62178
67,2022-03-09,28088
68,2022-03-10,66071
69,2022-03-11,69316
70,2022-03-12,19628
71,2022-03-13,30833
72,2022-03-14,63206
73,2022-03-15,78946
74,2022-03-16,81449
75,2022-03-17,50004
76,2022-03-18,92837
77,2022-03-19,77861
78,2022-03-20,65417
79,2022-03-21,73209
80,2022-03-22,75235
81,2022-03-23,60865
82,2022-03-24,45793
83,2022-03-25,74873
84,2022-03-26,62151
85,2022-03-27,45625
86,2022-03-28,38135
87,2022-03-29,48426
88,2022-03-30,61254
89,2022-03-31,72625
90,2022-04-01,68479
91,2022-04-02,73254
92,2022-04-03,37164
93,2022-04-04,68902
94,2022-04-05,72629
95,2022-04-06,48443
96,2022-04-07,35322
97,2022-04-08,88195
98,2022-04-09,67329
99,2022-04-10,57144
100,2022-04-11,75355
101,2022-04-12,93575
102,2022-04-13,98764
103,2022-04-14,90635
104,2022-04-15,99636
105,2022-04-16,82188
106,2022-04-17,54110
107,2022-04-18,55811
108,2022-04-19,58873
109,2022-04-20,85294
110,2022-04-21,77520
111,2022-04-22,97494
112,2022-04-23,94585
113,2022-04-24,83406
114,2022-04-25,72682
115,2022-04-26,74947
116,2022-04-27,82446
117,2022-04-28,78531
118,2022-04-29,87089
119,2022-04-30,101537
120,2022-05-01,94657
121,2022-05-02,54536
122,2022-05-03,92564
123,2022-05-04,79594
124,2022-05-05,110355
125,2022-05-06,35170
126,2022-05-07,20557
127,2022-05-08,62745
128,2022-05-09,93995
129,2022-05-10,104600
130,2022-05-11,107079
131,2022-05-12,110862
132,2022-05-13,95861
133,2022-05-14,79812
134,2022-05-15,108477
135,2022-05-16,79295
136,2022-05-17,117412
137,2022-05-18,117596
138,2022-05-19,90207
139,2022-05-20,85189
140,2022-05-21,115215
141,2022-05-22,103604
142,2022-05-23,101563
143,2022-05-24,104949
144,2022-05-25,114182
145,2022-05-26,111106
146,2022-05-27,89185
147,2022-05-28,82607
148,2022-05-29,101235
