,month,hour,rides
0,April,0,25377
1,April,1,15592
2,April,2,10476
3,April,3,7083
4,April,4,6889
5,April,5,13224
6,April,6,39446
7,April,7,85395
8,April,8,131316
9,April,9,112232
10,April,10,102841
11,April,11,115721
12,April,12,130882
13,April,13,142855
14,April,14,155514
15,April,15,168827
16,April,16,184815
17,April,17,220599
18,April,18,202512
19,April,19,142724
20,April,20,90705
21,April,21,64891
22,April,22,51943
23,April,23,39480
24,August,0,55713
25,August,1,34640
26,August,2,22780
27,August,3,14371
28,August,4,11726
29,August,5,24738
30,August,6,68859
31,August,7,122950
32,August,8,191162
33,August,9,175434
34,August,10,159508
35,August,11,172716
36,August,12,190422
37,August,13,196644
38,August,14,202211
39,August,15,219960
40,August,16,255419
41,August,17,325274
42,August,18,329395
43,August,19,269537
44,August,20,191691
45,August,21,141307
46,August,22,114781
47,August,23,84944
48,December,0,21670
49,December,1,13184
50,December,2,8412
51,December,3,5516
52,December,4,5320
53,December,5,12989
54,December,6,34188
55,December,7,73256
56,December,8,106420
57,December,9,90506
58,December,10,75880
59,December,11,80840
60,December,12,90162
61,December,13,98291
62,December,14,104822
63,December,15,112611
64,December,16,121230
65,December,17,126381
66,December,18,113997
67,December,19,84512
68,December,20,61640
69,December,21,46775
70,December,22,40157
71,December,23,31585
72,February,0,12673
73,February,1,7342
74,February,2,5079
75,February,3,3293
76,February,4,3325
77,February,5,8606
78,February,6,26064
79,February,7,53361
80,February,8,78486
81,February,9,63487
82,February,10,55615
83,February,11,61298
84,February,12,70973
85,February,13,76618
86,February,14,82815
87,February,15,89038
88,February,16,95587
89,February,17,110033
90,February,18,96135
91,February,19,69211
92,February,20,47310
93,February,21,33643
94,February,22,27588
95,February,23,19779
96,January,0,10599
97,January,1,6920
98,January,2,4681
99,January,3,2899
100,January,4,2843
101,January,5,7947
102,January,6,22169
103,January,7,43967
104,January,8,63052
105,January,9,50183
106,January,10,45281
107,January,11,50482
108,January,12,60003
109,January,13,66882
110,January,14,75809
111,January,15,83340
112,January,16,87743
113,January,17,91274
114,January,18,83274
115,January,19,60959
116,January,20,39797
117,January,21,27232
118,January,22,21943
119,January,23,14776
120,July,0,59662
121,July,1,38056
122,July,2,25191
123,July,3,15799
124,July,4,12809
125,July,5,23810
126,July,6,63253
127,July,7,112312
128,July,8,171446
129,July,9,158882
130,July,10,149252
131,July,11,166338
132,July,12,187363
133,July,13,191823
134,July,14,202233
135,July,15,210326
136,July,16,239163
137,July,17,293778
138,July,18,295930
139,July,19,246570
140,July,20,188719
141,July,21,139037
142,July,22,118366
143,July,23,87604
144,June,0,52986
145,June,1,32249
146,June,2,20437
147,June,3,13211
148,June,4,10963
149,June,5,21434
150,June,6,61071
151,June,7,117847
152,June,8,176077
153,June,9,154094
154,June,10,142859
155,June,11,160994
156,June,12,183716
157,June,13,198710
158,June,14,212553
159,June,15,224845
160,June,16,247612
161,June,17,296002
162,June,18,294292
163,June,19,234821
164,June,20,174745
165,June,21,126908
166,June,22,105274
167,June,23,80445
168,March,0,19842
169,March,1,12071
170,March,2,8091
171,March,3,5463
172,March,4,5219
173,March,5,12322
174,March,6,38535
175,March,7,82366
176,March,8,122798
177,March,9,95122
178,March,10,79074
179,March,11,86238
180,March,12,100678
181,March,13,110231
182,March,14,122367
183,March,15,134731
184,March,16,146410
185,March,17,179159
186,March,18,166866
187,March,19,115541
188,March,20,74433
189,March,21,54784
190,March,22,42693
191,March,23,31001
192,May,0,37569
193,May,1,22203
194,May,2,14696
195,May,3,9590
196,May,4,8683
197,May,5,17011
198,May,6,49971
199,May,7,105178
200,May,8,157521
201,May,9,133028
202,May,10,126628
203,May,11,144314
204,May,12,163804
205,May,13,174475
206,May,14,194225
207,May,15,210126
208,May,16,220576
209,May,17,258504
210,May,18,250564
211,May,19,194915
212,May,20,135086
213,May,21,98184
214,May,22,80712
215,May,23,57738
216,November,0,30752
217,November,1,20364
218,November,2,12326
219,November,3,7872
220,November,4,7322
221,November,5,17689
222,November,6,48875
223,November,7,106487
224,November,8,157906
225,November,9,131348
226,November,10,117084
227,November,11,125105
228,November,12,138029
229,November,13,147366
230,November,14,157850
231,November,15,172382
232,November,16,188278
233,November,17,205635
234,November,18,182159
235,November,19,133099
236,November,20,95566
237,November,21,74567
238,November,22,61901
239,November,23,46388
240,October,0,42383
241,October,1,27137
242,October,2,17889
243,October,3,11503
244,October,4,8969
245,October,5,18632
246,October,6,52299
247,October,7,117084
248,October,8,171813
249,October,9,146860
250,October,10,134197
251,October,11,146117
252,October,12,167176
253,October,13,177062
254,October,14,197839
255,October,15,220179
256,October,16,238589
257,October,17,275512
258,October,18,242300
259,October,19,172628
260,October,20,119977
261,October,21,93111
262,October,22,77427
263,October,23,59276
264,September,0,49734
265,September,1,30229
266,September,2,19737
267,September,3,12862
268,September,4,10324
269,September,5,22490
270,September,6,66192
271,September,7,136440
272,September,8,195193
273,September,9,167846
274,September,10,153769
275,September,11,164606
276,September,12,184546
277,September,13,195523
278,September,14,212286
279,September,15,235808
280,September,16,259394
281,September,17,311698
282,September,18,307173
283,September,19,229530
284,September,20,156588
285,September,21,117695
286,September,22,97512
287,September,23,74734
