,station_name,mean_net_flow,std_net_flow,imbalance_flag
128,Broadway & W 56 St,15.816901408450704,22.138565845967552,True
127,Broadway & W 53 St,11.223140495867769,17.770554639894844,True
129,Broadway & W 58 St,10.901098901098901,24.92890384118351,True
123,Broadway & W 37 St,10.130681818181818,18.22180440184659,True
234,E 35 St & Madison Ave,9.924242424242424,18.33914340680194,True
26,2 Ave & E 96 St,9.491620111731844,9.845796336058093,True
568,W 50 St & 10 Ave,9.137362637362637,15.21065414887627,True
448,Plaza St East & Flatbush Ave,8.972067039106145,11.670994075835285,True
69,8 Ave & W 49 St,8.908196721311475,15.47615201776471,True
619,West End Ave & W 78 St,8.577777777777778,11.710983609810661,True
241,E 41 St & Madison Ave (SE corner),7.994475138121547,16.09958525216175,True
273,E 63 St & 3 Ave,7.649230769230769,13.773970386527148,True
545,W 35 St & 8 Ave,7.632411067193676,13.57501413797519,True
166,Clinton St & Joralemon St,7.576923076923077,8.11434232627672,True
56,6 Ave & W 34 St,7.529577464788733,19.181296757549667,True
580,W 56 St & 8 Ave,7.355311355311355,16.560998522233994,True
560,W 44 St & 11 Ave,7.28021978021978,20.261473815191348,True
567,W 49 St & 8 Ave,7.246537396121884,15.816926426717071,True
549,W 36 St & 9 Ave,7.024725274725275,13.050524563571118,True
217,E 2 St & Avenue C,6.6098901098901095,13.826014964372538,True
478,South St & Gouverneur Ln,6.588397790055248,12.627156163288417,True
243,E 44 St & 2 Ave,6.588068181818182,11.421635625426438,True
617,West End Ave & W 107 St,6.542613636363637,10.200184456666111,True
178,DeKalb Ave & Franklin Ave,6.521978021978022,6.966828957174412,True
22,2 Ave & E 29 St,6.151685393258427,14.400489916232173,True
126,Broadway & W 51 St,6.052486187845304,14.761445886513746,True
435,North Moore St & Greenwich St,5.964285714285714,23.41390275430635,True
587,W 76 St & Columbus Ave,5.73314606741573,13.480256702993614,True
589,W 84 St & Broadway,5.7024539877300615,13.99056143777047,True
45,5 Ave & E 103 St,5.654178674351585,9.073002167219224,True
25,2 Ave & E 72 St,5.510989010989011,11.071388191402527,True
247,E 47 St & 2 Ave,5.204081632653061,15.036963645936734,True
554,W 40 St & 7 Ave,5.201005025125628,12.012611176078723,True
278,E 68 St & Madison Ave,5.162011173184357,11.021827509906789,True
486,St Marks Pl & 2 Ave,-10.306629834254144,14.375741733328876,True
437,Old Slip & South St,-9.480446927374302,15.524568324060924,True
490,Stanton St & Chrystie St,-8.87087912087912,10.02516548624861,True
196,E 10 St & Avenue A,-8.487465181058496,19.54622751420826,True
372,Kent Ave & N 7 St,-8.43342776203966,18.92454256325451,True
500,University Pl & E 14 St,-6.431486880466473,26.04158504923017,True
599,Walker St & Baxter St,-6.344569288389513,10.87943144962886,True
349,Greenwich St & Hubert St,-5.898071625344353,18.873907611734566,True
607,Washington Square E,-5.85754189944134,17.4984380765052,True
316,Forsyth St & Broome St,-5.754820936639119,11.256573164224955,True
269,E 6 St & 2 Ave,-5.142857142857143,8.714273724924015,True
89,Atlantic Ave & Furman St,-5.134986225895317,8.729891760597233,True
608,Washington St & Barrow St,-5.133704735376044,9.192172734917076,True
39,4 Ave & 9 St,-5.0195530726256985,6.4566781115889,True
