,month,rideable_type,total_rides,peak_rides,demand_vs_peak_%,fleet_reduction_%
8,January,classic_bike,588579,2249815,26.2,73.8
6,February,classic_bike,664931,2249815,29.6,70.4
14,March,classic_bike,1090627,2249815,48.5,51.5
0,April,classic_bike,1464265,2249815,65.1,34.9
16,May,classic_bike,1930932,2249815,85.8,14.2
12,June,classic_bike,2249815,2249815,100.0,0.0
10,July,classic_bike,2176103,2249815,96.7,3.3
2,August,classic_bike,2213327,2249815,98.4,1.6
22,September,classic_bike,2164126,2249815,96.2,3.8
20,October,classic_bike,1665242,2249815,74.0,26.0
18,November,classic_bike,1218460,2249815,54.2,45.8
4,December,classic_bike,666229,2249815,29.6,70.4
9,January,electric_bike,435476,1362855,32.0,68.0
7,February,electric_bike,532428,1362855,39.1,60.9
15,March,electric_bike,755408,1362855,55.4,44.6
1,April,electric_bike,797074,1362855,58.5,41.5
17,May,electric_bike,934369,1362855,68.6,31.4
13,June,electric_bike,1094330,1362855,80.3,19.7
11,July,electric_bike,1221619,1362855,89.6,10.4
3,August,electric_bike,1362855,1362855,100.0,0.0
23,September,electric_bike,1247783,1362855,91.6,8.4
21,October,electric_bike,1270717,1362855,93.2,6.8
19,November,electric_bike,1167890,1362855,85.7,14.3
5,December,electric_bike,894115,1362855,65.6,34.4
