,member_casual,hour,rideable_type,ride_id
0,casual,0,classic_bike,73108
1,casual,0,electric_bike,53575
2,casual,1,classic_bike,49536
3,casual,1,electric_bike,34458
4,casual,2,classic_bike,33541
5,casual,2,electric_bike,22438
6,casual,3,classic_bike,20660
7,casual,3,electric_bike,14874
8,casual,4,classic_bike,13414
9,casual,4,electric_bike,12211
10,casual,5,classic_bike,13743
11,casual,5,electric_bike,14391
12,casual,6,classic_bike,33116
13,casual,6,electric_bike,30474
14,casual,7,classic_bike,67556
15,casual,7,electric_bike,57569
16,casual,8,classic_bike,123614
17,casual,8,electric_bike,81125
18,casual,9,classic_bike,153274
19,casual,9,electric_bike,87193
20,casual,10,classic_bike,192257
21,casual,10,electric_bike,101441
22,casual,11,classic_bike,236826
23,casual,11,electric_bike,124582
24,casual,12,classic_bike,271230
25,casual,12,electric_bike,150944
26,casual,13,classic_bike,288070
27,casual,13,electric_bike,170397
28,casual,14,classic_bike,307903
29,casual,14,electric_bike,191297
30,casual,15,classic_bike,325829
31,casual,15,electric_bike,202831
32,casual,16,classic_bike,336695
33,casual,16,electric_bike,201879
34,casual,17,classic_bike,369938
35,casual,17,electric_bike,201739
36,casual,18,classic_bike,359449
37,casual,18,electric_bike,186646
38,casual,19,classic_bike,283164
39,casual,19,electric_bike,152444
40,casual,20,classic_bike,195024
41,casual,20,electric_bike,114505
42,casual,21,classic_bike,144852
43,casual,21,electric_bike,92027
44,casual,22,classic_bike,128556
45,casual,22,electric_bike,82598
46,casual,23,classic_bike,101198
47,casual,23,electric_bike,70049
48,member,0,classic_bike,151373
49,member,0,electric_bike,140904
50,member,1,classic_bike,89982
51,member,1,electric_bike,86011
52,member,2,classic_bike,57593
53,member,2,electric_bike,56223
54,member,3,classic_bike,36929
55,member,3,electric_bike,36999
56,member,4,classic_bike,33056
57,member,4,electric_bike,35711
58,member,5,classic_bike,92478
59,member,5,electric_bike,80280
60,member,6,classic_bike,288819
61,member,6,electric_bike,218513
62,member,7,classic_bike,615940
63,member,7,electric_bike,415578
64,member,8,classic_bike,972973
65,member,8,electric_bike,545478
66,member,9,classic_bike,782209
67,member,9,electric_bike,456346
68,member,10,classic_bike,644444
69,member,10,electric_bike,403846
70,member,11,classic_bike,675190
71,member,11,electric_bike,438171
72,member,12,classic_bike,746015
73,member,12,electric_bike,499565
74,member,13,classic_bike,768923
75,member,13,electric_bike,549090
76,member,14,classic_bike,813997
77,member,14,electric_bike,607327
78,member,15,classic_bike,890118
79,member,15,electric_bike,663395
80,member,16,classic_bike,1031408
81,member,16,electric_bike,714834
82,member,17,classic_bike,1339600
83,member,17,electric_bike,782572
84,member,18,classic_bike,1293657
85,member,18,electric_bike,724845
86,member,19,classic_bike,943729
87,member,19,electric_bike,574710
88,member,20,classic_bike,643183
89,member,20,electric_bike,423545
90,member,21,classic_bike,455551
91,member,21,electric_bike,325704
92,member,22,classic_bike,356874
93,member,22,electric_bike,272269
94,member,23,classic_bike,246042
95,member,23,electric_bike,210461
