,month,monthly_demand_share,supply_share
0,April,0.23971593821182938,0.1525327262379055
1,August,0.24592316610284376,0.1525327262379055
2,December,0.20493621919269084,0.1525327262379055
3,February,0.22077923162560267,0.1525327262379055
4,January,0.21930755672302757,0.1525327262379055
5,July,0.25131691174263227,0.1525327262379055
6,June,0.25607920709179777,0.1525327262379055
7,March,0.22959694697012786,0.1525327262379055
8,May,0.2535101896798975,0.1525327262379055
9,November,0.22245311877972637,0.1525327262379055
10,October,0.2285059157842463,0.1525327262379055
11,September,0.24341651550495633,0.1525327262379055
