,start_station_name,end_station_name,value
207822,Roosevelt Island Tramway,Roosevelt Island Tramway,8211.0
212678,Soissons Landing,Soissons Landing,7275.0
273022,Yankee Ferry Terminal,Yankee Ferry Terminal,5759.0
10195,12 Ave & W 40 St,12 Ave & W 40 St,5405.0
266106,West St & Chambers St,West St & Chambers St,4767.0
265838,West St & Chambers St,Pier 40 - Hudson River Park,4584.0
273006,Yankee Ferry Terminal,Soissons Landing,4556.0
185255,North Moore St & Greenwich St,Vesey St & Church St,4523.0
212699,Soissons Landing,Yankee Ferry Terminal,4299.0
192049,Pier 40 - Hudson River Park,West St & Chambers St,4222.0
207807,Roosevelt Island Tramway,Motorgate,4212.0
179809,Motorgate,Roosevelt Island Tramway,4193.0
183168,N 6 St & Bedford Ave,S 4 St & Wythe Ave,4172.0
11153,12 Ave & W 40 St,West St & Chambers St,3858.0
173091,McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,3802.0
126596,E 72 St & York Ave,2 Ave & E 72 St,3766.0
265114,West St & Chambers St,10 Ave & W 14 St,3692.0
229803,Vesey St & Church St,North Moore St & Greenwich St,3618.0
6462,10 Ave & W 14 St,West St & Chambers St,3601.0
168721,Little West St & 1 Pl,West St & Liberty St,3594.0
10183,12 Ave & W 40 St,10 Ave & W 14 St,3510.0
209130,S 4 St & Wythe Ave,N 6 St & Bedford Ave,3476.0
216224,Southpoint Park,Roosevelt Island Tramway,3425.0
207831,Roosevelt Island Tramway,Southpoint Park,3377.0
176119,Milton St & Franklin St,Kent Ave & N 7 St,3339.0
9133,11 Ave & W 41 St,W 34 St & 11 Ave,3312.0
31435,46 Ave & 5 St,Vernon Blvd & 50 Ave,3290.0
265125,West St & Chambers St,12 Ave & W 40 St,3245.0
228388,Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,3238.0
267044,West St & Liberty St,West St & Chambers St,3224.0
139018,Franklin St & Dupont St,Vernon Blvd & 50 Ave,3198.0
267045,West St & Liberty St,West St & Liberty St,3170.0
70798,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,3098.0
228264,Vernon Blvd & 50 Ave,Franklin St & Dupont St,3061.0
212672,Soissons Landing,Picnic Point,3003.0
266716,West St & Liberty St,Little West St & 1 Pl,2937.0
78891,Center Blvd & 51 Ave,Vernon Blvd & 50 Ave,2933.0
29745,45 Ave & 21 St,46 Ave & 5 St,2924.0
227929,Vernon Blvd & 50 Ave,46 Ave & 5 St,2880.0
216227,Southpoint Park,Southpoint Park,2871.0
30840,46 Ave & 5 St,45 Ave & 21 St,2866.0
40188,6 Ave & W 33 St,E 33 St & 1 Ave,2858.0
149743,Greenwich St & W Houston St,Pier 40 - Hudson River Park,2849.0
160013,Kent Ave & N 7 St,Milton St & Franklin St,2842.0
191167,Picnic Point,Soissons Landing,2825.0
200505,Riverside Blvd & W 67 St,Riverside Blvd & W 67 St,2750.0
14342,2 Ave & E 72 St,E 72 St & York Ave,2739.0
253245,W 70 St & Amsterdam Ave,Riverside Blvd & W 67 St,2735.0
5543,10 Ave & W 14 St,10 Ave & W 14 St,2722.0
114702,E 33 St & 1 Ave,6 Ave & W 33 St,2699.0
185254,North Moore St & Greenwich St,Vesey Pl & River Terrace,2685.0
199729,River Ter & Warren St,Vesey Pl & River Terrace,2665.0
115476,E 33 St & 1 Ave,W 31 St & 7 Ave,2651.0
10886,12 Ave & W 40 St,Pier 40 - Hudson River Park,2647.0
8882,11 Ave & W 27 St,W 26 St & 8 Ave,2637.0
253281,W 70 St & Amsterdam Ave,W 64 St & Thelonious Monk Circle,2624.0
192050,Pier 40 - Hudson River Park,West St & Liberty St,2594.0
159832,Kent Ave & N 7 St,Franklin St & Dupont St,2590.0
6463,10 Ave & W 14 St,West St & Liberty St,2582.0
179781,Motorgate,Motorgate,2542.0
101020,E 102 St & 1 Ave,2 Ave & E 96 St,2505.0
114451,E 32 St & Park Ave,E 33 St & 1 Ave,2479.0
256983,Wards Meadow Comfort Station,Wards Meadow Comfort Station,2468.0
183207,N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,2437.0
266107,West St & Chambers St,West St & Liberty St,2436.0
200685,Riverside Blvd & W 67 St,W 70 St & Amsterdam Ave,2401.0
242549,W 26 St & 8 Ave,11 Ave & W 27 St,2359.0
236567,W 16 St & The High Line,8 Ave & W 16 St,2353.0
191181,Picnic Point,Yankee Ferry Terminal,2341.0
229435,Vesey Pl & River Terrace,North Moore St & Greenwich St,2336.0
85029,Clinton St & Grand St,Clinton St & Cherry St,2311.0
154330,Huron St & Franklin St,Kent Ave & N 7 St,2296.0
228083,Vernon Blvd & 50 Ave,Center Blvd & 51 Ave,2288.0
211680,Shore Blvd & Astoria Park,Shore Blvd & Astoria Park,2273.0
114703,E 33 St & 1 Ave,6 Ave & W 34 St,2269.0
114564,E 33 St & 1 Ave,2 Ave & E 31 St,2256.0
159908,Kent Ave & N 7 St,Huron St & Franklin St,2254.0
116625,E 40 St & Park Ave,E 33 St & 1 Ave,2254.0
273002,Yankee Ferry Terminal,Picnic Point,2232.0
9134,11 Ave & W 41 St,W 44 St & 11 Ave,2207.0
1038,1 Ave & E 30 St,2 Ave & E 29 St,2201.0
252947,W 64 St & Thelonious Monk Circle,W 70 St & Amsterdam Ave,2200.0
265398,West St & Chambers St,Christopher St & Greenwich St,2195.0
155047,India St & Manhattan Ave,Franklin St & Dupont St,2164.0
229556,Vesey Pl & River Terrace,Vesey Pl & River Terrace,2155.0
53054,Atlantic Ave & Furman St,Atlantic Ave & Furman St,2145.0
266006,West St & Chambers St,W 22 St & 10 Ave,2139.0
267851,West Thames St,West Thames St,2134.0
78508,Center Blvd & 51 Ave,Center Blvd & 51 Ave,2132.0
267850,West Thames St,West St & Liberty St,2125.0
138766,Franklin St & Dupont St,Kent Ave & N 7 St,2122.0
115000,E 33 St & 1 Ave,E 40 St & Park Ave,2106.0
266138,West St & Liberty St,10 Ave & W 14 St,2083.0
138750,Franklin St & Dupont St,India St & Manhattan Ave,2073.0
1942,1 Ave & E 39 St,1 Ave & E 44 St,2057.0
159911,Kent Ave & N 7 St,India St Pier,2048.0
259877,Washington St & Gansevoort St,Washington St & Gansevoort St,2044.0
9424,12 Ave & W 125 St,12 Ave & W 125 St,2033.0
168720,Little West St & 1 Pl,West St & Chambers St,2028.0
187255,Old Slip & South St,South St & Gouverneur Ln,2022.0
191796,Pier 40 - Hudson River Park,Pier 40 - Hudson River Park,2022.0
266094,West St & Chambers St,Washington St & Gansevoort St,2011.0
159928,Kent Ave & N 7 St,Kent Ave & N 7 St,2005.0
14488,2 Ave & E 96 St,E 102 St & 1 Ave,1988.0
266796,West St & Liberty St,Pier 40 - Hudson River Park,1930.0
84424,Clinton St & Cherry St,Clinton St & Grand St,1929.0
168428,Little West St & 1 Pl,Little West St & 1 Pl,1925.0
259889,Washington St & Gansevoort St,West St & Chambers St,1924.0
114991,E 33 St & 1 Ave,E 32 St & Park Ave,1908.0
30837,46 Ave & 5 St,44 Dr & Jackson Ave,1900.0
265758,West St & Chambers St,Little West St & 1 Pl,1889.0
266901,West St & Liberty St,Vesey Pl & River Terrace,1862.0
5551,10 Ave & W 14 St,12 Ave & W 40 St,1827.0
247693,W 44 St & 11 Ave,W 44 St & 5 Ave,1810.0
155642,India St Pier,Kent Ave & N 7 St,1809.0
191207,Pier 40 - Hudson River Park,12 Ave & W 40 St,1802.0
272629,Wythe Ave & Metropolitan Ave,N 6 St & Bedford Ave,1785.0
82069,Christopher St & Greenwich St,West St & Chambers St,1782.0
135413,FDR Drive & E 35 St,FDR Drive & E 35 St,1782.0
204433,Riverside Dr & W 72 St,Riverside Dr & W 72 St,1779.0
114535,E 33 St & 1 Ave,1 Ave & E 39 St,1769.0
229688,Vesey Pl & River Terrace,West St & Chambers St,1767.0
205911,Riverside Dr & W 82 St,Riverside Dr & W 82 St,1762.0
272716,Wythe Ave & Metropolitan Ave,S 4 St & Wythe Ave,1762.0
774,1 Ave & E 16 St,E 33 St & 1 Ave,1756.0
176521,Milton St & Franklin St,Wythe Ave & Metropolitan Ave,1745.0
11154,12 Ave & W 40 St,West St & Liberty St,1745.0
265988,West St & Chambers St,W 16 St & The High Line,1738.0
168592,Little West St & 1 Pl,Vesey Pl & River Terrace,1726.0
82063,Christopher St & Greenwich St,Washington St & Gansevoort St,1719.0
253137,W 67 St & Broadway,W 64 St & Thelonious Monk Circle,1718.0
156480,Jackson Ave & 46 Rd,46 Ave & 5 St,1714.0
31231,46 Ave & 5 St,Jackson Ave & 46 Rd,1703.0
61159,Berry St & N 8 St,Milton St & Franklin St,1691.0
243223,W 31 St & 7 Ave,1 Ave & E 30 St,1683.0
265907,West St & Chambers St,Spring St & Hudson St,1683.0
111970,E 20 St & FDR Dr,E 20 St & FDR Dr,1662.0
243288,W 31 St & 7 Ave,E 33 St & 1 Ave,1660.0
714,1 Ave & E 16 St,1 Ave & E 30 St,1660.0
29407,44 Dr & Jackson Ave,46 Ave & 5 St,1652.0
256348,Wards Meadow Comfort Station,2 Ave & E 96 St,1649.0
272948,Wythe Ave & Metropolitan Ave,Wythe Ave & Metropolitan Ave,1642.0
209217,S 4 St & Wythe Ave,S 4 St & Wythe Ave,1640.0
244325,W 34 St & 11 Ave,W 34 St & 11 Ave,1627.0
10908,12 Ave & W 40 St,Riverside Blvd & W 67 St,1623.0
267849,West Thames St,West St & Chambers St,1618.0
213872,South St & Gouverneur Ln,South St & Whitehall St,1615.0
114992,E 33 St & 1 Ave,E 33 St & 1 Ave,1612.0
247692,W 44 St & 11 Ave,W 44 St & 11 Ave,1606.0
1832,1 Ave & E 30 St,W 31 St & 7 Ave,1597.0
191195,Pier 40 - Hudson River Park,10 Ave & W 14 St,1595.0
65133,Broadway & Battery Pl,Little West St & 1 Pl,1575.0
252945,W 64 St & Thelonious Monk Circle,W 64 St & Thelonious Monk Circle,1570.0
199892,Riverside Blvd & W 67 St,12 Ave & W 40 St,1567.0
112866,E 20 St & Park Ave,E 20 St & FDR Dr,1562.0
244410,W 34 St & 11 Ave,West St & Chambers St,1557.0
243571,W 34 St & 11 Ave,11 Ave & W 41 St,1533.0
250946,W 54 St & 11 Ave,12 Ave & W 40 St,1521.0
216212,Southpoint Park,Motorgate,1518.0
208616,S 4 St & Wythe Ave,Berry St & N 8 St,1515.0
156501,Jackson Ave & 46 Rd,Center Blvd & 51 Ave,1510.0
923,1 Ave & E 18 St,E 33 St & 1 Ave,1503.0
153936,Hudson St & Reade St,North Moore St & Greenwich St,1495.0
241577,W 22 St & 10 Ave,West St & Chambers St,1494.0
228857,Vesey Pl & River Terrace,10 Ave & W 14 St,1492.0
186358,Old Fulton St,Old Fulton St,1484.0
8096,11 Ave & W 27 St,11 Ave & W 27 St,1482.0
266014,West St & Chambers St,W 30 St & 10 Ave,1481.0
1945,1 Ave & E 39 St,1 Ave & E 68 St,1478.0
214038,South St & Gouverneur Ln,West St & Liberty St,1477.0
11028,12 Ave & W 40 St,W 16 St & The High Line,1475.0
114993,E 33 St & 1 Ave,E 33 St & 5 Ave,1469.0
243574,W 34 St & 11 Ave,12 Ave & W 40 St,1467.0
201373,Riverside Dr & W 104 St,Riverside Dr & W 104 St,1464.0
185387,North Moore St & Greenwich St,West St & Liberty St,1460.0
252946,W 64 St & Thelonious Monk Circle,W 67 St & Broadway,1451.0
266315,West St & Liberty St,Broadway & Battery Pl,1442.0
215496,South St & Whitehall St,South St & Gouverneur Ln,1433.0
111656,E 20 St & FDR Dr,1 Ave & E 18 St,1431.0
191164,Picnic Point,Picnic Point,1429.0
183130,N 6 St & Bedford Ave,Franklin St & Dupont St,1427.0
175722,Milton St & Franklin St,Berry St & N 8 St,1426.0
114563,E 33 St & 1 Ave,2 Ave & E 29 St,1425.0
168068,Little West St & 1 Pl,Broadway & Battery Pl,1416.0
247671,W 44 St & 11 Ave,W 34 St & 11 Ave,1416.0
266773,West St & Liberty St,North Moore St & Greenwich St,1412.0
181651,N 11 St & Kent Ave,Kent Ave & N 7 St,1412.0
183146,N 6 St & Bedford Ave,Milton St & Franklin St,1409.0
1018,1 Ave & E 30 St,1 Ave & E 39 St,1405.0
117325,E 44 St & Lexington Ave,E 33 St & 1 Ave,1402.0
40357,6 Ave & W 34 St,E 33 St & 1 Ave,1401.0
266108,West St & Chambers St,West Thames St,1399.0
138749,Franklin St & Dupont St,Huron St & Franklin St,1398.0
266148,West St & Liberty St,12 Ave & W 40 St,1391.0
9001,11 Ave & W 41 St,11 Ave & W 27 St,1387.0
209218,S 4 St & Wythe Ave,S 5 Pl & S 5 St,1386.0
100154,Dyckman St & Staff St,Dyckman St & Staff St,1385.0
206644,Riverside Dr & W 91 St,Riverside Dr & W 91 St,1378.0
155625,India St Pier,India St & Manhattan Ave,1376.0
236776,W 16 St & The High Line,E 16 St & 5 Ave,1376.0
180337,Murray St & Greenwich St,West Thames St,1376.0
267710,West Thames St,Vesey Pl & River Terrace,1369.0
251063,W 54 St & 11 Ave,W 34 St & 11 Ave,1358.0
267046,West St & Liberty St,West Thames St,1357.0
265675,West St & Chambers St,Greenwich St & W Houston St,1356.0
25,1 Ave & E 110 St,2 Ave & E 96 St,1355.0
